region,seat,date,candidate,party_raw,votes,pct,source
vic,Prahran,2025-02-08,Rachel Westaway,Liberal,11443,36.19,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Angelica Di Camillo,Greens,11442,36.19,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Tony Lupton,Independent,4021,12.72,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Nathan Chisholm,Independent,1672,5.29,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Faith Fuhrer,Animal Justice,879,2.78,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Janine Hendry,Independent,505,1.60,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Buzz Billman,Independent,465,1.47,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Dennis Bilic,Sustainable Australia,430,1.36,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Genevieve Gilbert,Family First,340,1.08,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Mark Dessau,Libertarian,292,0.92,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Prahran,2025-02-08,Alan Menadue,Independent,126,0.40,https://en.wikipedia.org/wiki/2025_Prahran_state_by-election
vic,Werribee,2025-02-08,John Lister,Labor,12168,28.89,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Steve Murphy,Liberal,12207,28.98,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Paul Hopper,Independent,6134,14.56,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Rifai A. Raheem,Greens,3190,7.57,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Sue Munro,Victorian Socialists,3008,7.14,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Xavier Menta,Legalise Cannabis,2316,5.50,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Matt Emerson,Family First,1827,4.34,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Shohre Mansouri Jajaee,Animal Justice,401,0.95,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Munish Joshi,Independent,352,0.84,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Aidan McLindon,Independent,270,0.64,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Aijaz Moinuddin,Independent,164,0.39,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Werribee,2025-02-08,Kodei Mulcahy,Independent,80,0.19,https://en.wikipedia.org/wiki/2025_Werribee_state_by-election
vic,Mulgrave,2023-11-18,Eden Foster,Labor,14481,40.18,https://en.wikipedia.org/wiki/2023_Mulgrave_state_by-election
vic,Mulgrave,2023-11-18,Courtney Mann,Liberal,7817,21.69,https://en.wikipedia.org/wiki/2023_Mulgrave_state_by-election
vic,Mulgrave,2023-11-18,Ian Cook,Independent,6780,18.81,https://en.wikipedia.org/wiki/2023_Mulgrave_state_by-election
